,Main_food_description,Type,Price_($),Calories_kCal,Carbohydrate_g,Fiber_g,Protein_g,Calcium_mg,Copper_mg,Iron_mg,Phosphorus_mg,Zinc_mg,Potassium_mg,Sodium_mg,Vitamin_A_mg,Vitamin_C_mg,Vitamin_D_microg,Vitamin_E_mg,Niacin_mg,Vitamin_B6_mg,Folate_microg,Choline_mg,Sugar_g,Lipid_g,Marco_Diet
1,"BUTTER,WITH SALT",Dairy,0.74,717.00,0.06,0.00,0.85,24.00,0.00,0.02,24.00,0.09,24.00,643.00,2499.00,0.00,1.50,2.32,0.04,0.00,3.00,18.80,0.06,81.11,0.00
2,"CHEESE, CAMEMBERT",Dairy,1.89,300.00,0.46,0.00,19.80,388.00,0.02,0.33,347.00,2.38,187.00,842.00,820.00,0.00,0.40,0.21,0.63,0.23,62.00,15.40,0.46,24.26,1.00
3,"CHEESE, CHEDDAR",Dairy,0.90,403.00,1.28,0.00,24.90,721.00,0.03,0.68,512.00,3.11,98.00,621.00,1002.00,0.00,0.60,0.29,0.08,0.07,18.00,16.50,0.52,33.14,0.00
4,"CHEESE, MOZZARELLA, WHOLE MILK",Dairy,1.01,300.00,2.19,0.00,22.17,505.00,0.01,0.44,354.00,2.92,76.00,627.00,676.00,0.00,0.40,0.19,0.10,0.04,7.00,15.40,1.03,22.35,0.00
5,"CHEESE, RICOTTA",Dairy,0.47,174.00,3.04,0.00,11.26,207.00,0.02,0.38,158.00,1.16,105.00,84.00,445.00,0.00,0.20,0.11,0.10,0.04,12.00,17.50,0.27,12.98,0.00
6,"MILK, SOY",Dairy,0.24,33.00,4.92,0.20,2.60,123.00,0.17,0.42,43.00,0.26,122.00,47.00,185.00,0.00,1.10,0.11,0.43,0.03,9.00,23.60,3.65,1.47,0.00
7,"MILK,RED FAT,FLUID,2% MILKFAT",Dairy,0.09,50.00,4.80,0.00,3.30,120.00,0.01,0.02,92.00,0.48,140.00,47.00,190.00,0.20,1.20,0.03,0.09,0.04,5.00,16.40,5.06,1.98,0.00
8,"MILK,LOWFAT,FLUID,1% MILKFAT",Dairy,0.10,42.00,4.99,0.00,3.37,125.00,0.01,0.03,95.00,0.42,150.00,44.00,196.00,0.00,1.20,0.01,0.09,0.04,5.00,17.70,5.20,0.97,0.00
9,"MILK, NONFAT, FLUID",Dairy,0.19,34.00,4.96,0.00,3.37,122.00,0.01,0.03,101.00,0.42,156.00,42.00,204.00,0.00,1.20,0.01,0.09,0.04,5.00,15.60,5.09,0.08,0.00
10,"MILK SHAKES,THICK CHOC",Dairy,0.25,119.00,21.15,0.30,3.05,132.00,0.07,0.31,126.00,0.48,224.00,111.00,67.00,0.00,1.00,0.05,0.12,0.03,5.00,17.00,20.85,2.70,0.00
11,"MILK SHAKES,THICK VANILLA",Dairy,0.25,112.00,17.75,0.00,3.86,146.00,0.05,0.10,115.00,0.39,183.00,95.00,91.00,0.00,1.20,0.05,0.15,0.04,7.00,14.30,17.75,3.03,0.00
12,"YOGURT, FRUIT, LOWFAT",Dairy,0.40,99.00,18.64,0.00,3.98,138.00,0.08,0.06,109.00,0.67,177.00,53.00,40.00,0.60,0.00,0.02,0.09,0.04,9.00,15.20,18.64,1.15,1.50
13,"EGG, WHOLE, RAW",Eggs,0.30,52.00,0.73,0.00,10.90,7.00,0.02,0.08,15.00,0.03,163.00,166.00,0.00,0.00,0.00,0.00,0.11,0.01,4.00,1.10,0.71,0.17,0.00
14,"EGG, WHITE ONLY, COOKED",Eggs,0.44,149.00,1.61,0.00,9.99,66.00,0.06,1.31,165.00,1.04,132.00,145.00,578.00,0.00,1.80,1.15,0.08,0.13,36.00,221.00,1.39,10.98,2.00
15,"EGG, BENEDICT",Eggs,0.51,131.00,0.83,0.00,13.61,62.00,0.08,1.89,215.00,1.39,152.00,207.00,787.00,0.00,2.20,1.31,0.08,0.18,51.00,317.10,0.40,14.84,0.00
16,"BUTTER,WITHOUT SALT",Dairy,0.78,717.00,0.06,0.00,0.85,24.00,0.02,0.02,24.00,0.09,24.00,11.00,2499.00,0.00,1.50,2.32,0.04,0.00,3.00,18.80,0.06,81.11,0.00
17,DULCE DE LECHE,Dairy,0.26,315.00,55.35,0.00,6.84,251.00,0.00,0.17,193.00,0.79,350.00,129.00,267.00,2.60,0.20,0.20,0.21,0.02,11.00,89.10,49.74,7.35,0.20
18,ICE CREAM COOKIE SANDWICH,Dairy,1.00,240.00,39.60,1.20,3.70,73.00,0.11,1.10,54.00,0.32,68.00,162.00,122.00,0.00,0.00,0.40,0.24,0.03,5.00,8.00,21.30,7.40,0.00
19,"ICE CREAM CONE, CHOCOLATE COVERED, WITH NUTS, FLAVORS OTHER THAN CHOCOLATE",Dairy,0.53,354.00,34.38,1.00,5.21,63.00,0.13,0.00,108.00,0.86,222.00,94.00,104.00,0.00,0.10,0.18,0.83,0.05,24.00,23.80,25.00,21.88,0.00
20,"YOGURT, PLAIN, WHOLE MILK",Dairy,0.46,61.00,4.66,0.00,3.47,121.00,0.01,0.05,95.00,0.59,155.00,46.00,99.00,0.50,0.10,0.06,0.08,0.03,7.00,15.20,4.66,3.25,0.00
21,"SALAD DRESSING, 1000 ISLANDS",Others,0.35,379.00,14.64,0.80,1.09,17.00,0.00,1.18,27.00,0.26,107.00,962.00,213.00,0.00,0.00,4.00,0.42,0.00,0.00,4.60,15.18,35.06,0.00
22,"SALAD DRSNG,FRENCH DRSNG,RED FAT",Others,0.35,222.00,31.22,1.50,0.58,11.00,0.16,0.73,16.00,0.20,107.00,838.00,541.00,4.80,0.00,1.00,0.47,0.06,2.00,4.00,16.86,11.52,0.00
23,OLIVE OIL,Others,3.30,884.00,0.00,0.00,0.00,1.00,0.00,0.56,0.00,0.00,1.00,2.00,0.00,0.00,0.00,14.35,0.00,0.00,0.00,0.30,0.00,100.00,0.00
24,"OIL,SUNFLOWER,LINOLEIC,(APPROX. 65%)",Others,0.35,884.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.08,0.00,0.00,0.00,0.20,0.00,100.00,0.00
25,"MARGARINE, STICK, SALTED",Dairy,0.23,717.00,0.70,0.00,0.16,3.00,0.00,0.06,5.00,0.00,18.00,751.00,3571.00,0.20,0.00,9.00,0.02,0.01,1.00,12.40,0.00,80.71,0.00
26,TURKEY,Meats,0.68,143.00,0.00,0.00,21.64,11.00,0.08,0.86,183.00,1.78,224.00,112.00,56.00,0.00,0.30,0.09,7.63,0.60,7.00,58.00,0.06,5.64,0.00
27,"YOGURT, PLAIN, LOWFAT MILK",Dairy,0.40,63.00,7.04,0.00,5.25,183.00,0.01,0.08,144.00,0.89,234.00,70.00,51.00,0.80,0.00,0.03,0.11,0.05,11.00,15.20,7.04,1.55,0.00
28,"CHICKEN, WING, FRIED",Meats,1.15,211.00,3.34,0.60,19.67,28.00,0.04,2.41,205.00,1.14,190.00,615.00,58.00,0.00,0.20,0.36,5.50,0.14,10.00,89.30,2.04,12.67,0.00
29,"FRANKFURTER,TURKEY",Meats,0.60,223.00,3.81,0.00,12.23,148.00,0.07,1.47,172.00,1.84,392.00,911.00,0.00,0.00,0.60,0.62,3.68,0.14,9.00,48.40,1.21,17.29,0.00
30,FRANKFURTER  BEEF & PORK,Meats,0.60,305.00,1.72,0.00,11.53,11.00,0.08,1.15,86.00,1.84,167.00,819.00,58.00,0.00,0.90,0.25,2.63,0.13,4.00,43.20,0.00,27.64,0.00
31,CHICKEN BREAST  OVEN-ROASTED ,Meats,1.01,79.00,2.17,0.00,16.79,6.00,0.03,0.32,60.00,0.30,67.00,1087.00,0.00,0.00,0.10,0.10,3.43,0.15,1.00,64.50,0.10,0.39,2.50
32,ALL-BRAN,Cereals,0.85,260.00,74.24,29.30,13.14,389.00,1.04,17.60,1150.00,12.40,1020.00,258.00,1747.00,20.00,4.30,1.24,14.80,12.00,1310.00,49.40,15.69,4.90,0.00
33,"CORN FLAKES, KELLOGG",Cereals,0.71,357.00,84.10,3.30,7.50,7.00,0.20,28.90,102.00,1.00,168.00,729.00,1786.00,21.00,3.60,0.12,17.90,1.79,357.00,8.70,9.50,0.40,0.00
34,"APPLE, RAW",Fruit,0.29,52.00,13.81,2.40,0.26,6.00,0.03,0.12,11.00,0.04,107.00,1.00,54.00,4.60,0.00,0.18,0.09,0.04,3.00,3.40,10.39,0.17,0.50
35,"APRICOT, RAW",Fruit,0.49,48.00,11.12,2.00,1.40,13.00,0.08,0.39,23.00,0.20,259.00,1.00,1926.00,10.00,0.00,0.89,0.60,0.05,9.00,2.80,9.24,0.39,0.00
36,"BANANA, RAW",Fruit,0.21,89.00,22.84,2.60,1.09,5.00,0.08,0.26,22.00,0.15,358.00,1.00,64.00,8.70,0.00,0.10,0.67,0.37,20.00,9.80,12.23,0.33,0.00
37,"FIG, RAW",Fruit,1.10,74.00,19.18,2.90,0.75,35.00,0.07,0.37,14.00,0.15,232.00,1.00,142.00,2.00,0.00,0.11,0.40,0.11,6.00,4.70,16.26,0.30,1.00
38,FRUIT COCKTAIL,Fruit,0.48,32.00,8.51,1.00,0.42,5.00,0.07,0.25,11.00,0.09,94.00,4.00,250.00,2.10,0.00,0.40,0.36,0.05,3.00,3.70,7.51,0.05,0.00
39,"LEMON JUICE, FRESH",Fruit,0.30,22.00,6.90,0.30,0.35,6.00,0.02,0.08,8.00,0.05,103.00,1.00,6.00,38.70,0.00,0.15,0.09,0.05,20.00,5.10,2.52,0.24,0.00
